Position,Name,ELO,Date,Age,Year,Age_Group,ELO_Change,Era,Is_World_No1,Appearances
18,Dreev,2690,2003 Jan,33,2003,31-35,7,Kasparov Era,No,6
20,Dreev,2682,2004 Jan,34,2004,31-35,-8,Kasparov Era,No,6
14,Dreev,2704,2005 Jan,35,2005,31-35,22,Kasparov Era,No,6
19,Duda,2738,2019 Jan,20,2019,17-25,0,Carlsen Era,No,3
16,Duda,2758,2020 Jan,21,2020,17-25,20,Carlsen Era,No,3
19,Duda,2743,2021 Jan,22,2021,17-25,-15,Carlsen Era,No,3
14,Eljanov,2736,2010 Jan,26,2010,26-30,0,Carlsen Era,No,3
13,Eljanov,2760,2016 Jan,32,2016,31-35,24,Carlsen Era,No,3
15,Eljanov,2755,2017 Jan,33,2017,31-35,-5,Carlsen Era,No,3
14,Fedorov,2684,2000 Jan,27,2000,26-30,0,Kasparov Era,No,1
18,Firouzja,2749,2021 Jan,17,2021,17-25,0,Carlsen Era,No,1
19,Gashimov,2723,2009 Jan,22,2009,17-25,0,Transition,No,5
7,Gashimov,2759,2010 Jan,23,2010,17-25,36,Carlsen Era,No,5
13,Gashimov,2736,2011 Jan,24,2011,17-25,-23,Carlsen Era,No,5
10,Gashimov,2761,2012 Jan,25,2012,17-25,25,Carlsen Era,No,5
18,Gashimov,2737,2013 Jan,26,2013,26-30,-24,Carlsen Era,No,5
13,Gelfand,2692,2000 Jan,31,2000,31-35,0,Kasparov Era,No,16
10,Gelfand,2712,2001 Jan,32,2001,31-35,20,Kasparov Era,No,16
11,Gelfand,2708,2002 Jan,33,2002,31-35,-4,Kasparov Era,No,16
14,Gelfand,2700,2003 Jan,34,2003,31-35,-8,Kasparov Era,No,16
15,Gelfand,2709,2004 Jan,35,2004,31-35,9,Kasparov Era,No,16
16,Gelfand,2696,2005 Jan,36,2005,36+,-13,Kasparov Era,No,16
9,Gelfand,2723,2006 Jan,37,2006,36+,27,Kasparov Era,No,16
10,Gelfand,2733,2007 Jan,38,2007,36+,10,Transition,No,16
11,Gelfand,2737,2008 Jan,39,2008,36+,4,Transition,No,16
